Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7jNBffBkx92uDiSPAF2ojR,"입속의 말","짙어만 갑니다","이아립",2018-10-20,83200,9,false,,1970-01-01T00:00:00Z,"","Earip",0.743,0.00619,6,-20.172,1,0.423,0.995,0.97,0.109,0.43,46.191,4
spotify:track:6dCnf63BG8SxmeyxoQlnAJ,"마음으로 말해요","FANTASY","비스윗",2015-12-24,179000,12,false,,1970-01-01T00:00:00Z,"","SW Company",0.834,0.234,6,-13.392,0,0.0616,0.74,0.00012,0.101,0.38,119.953,4
spotify:track:4lV595KJUfCTtfLSB7gxDz,"아무것도 아닌 나","세실리안","박진휘	",2026-02-27,231389,17,false,,1970-01-01T00:00:00Z,"","jin hwi Park",0.515,0.118,2,-17.449,1,0.0439,0.946,0.000264,0.338,0.0964,57.454,4
spotify:track:14308UZCGOQ15C6vz1W0Ff,"As If Love Meant Nothing (feat. Lee Young Hoon)","Eternal Moment","위수;이영훈",2019-10-12,233129,32,false,,1970-01-01T00:00:00Z,"K-발라드","TEAM WISUE",0.619,0.12,11,-14.326,1,0.0506,0.957,0.00000528,0.129,0.358,118.051,4
spotify:track:7ylQ2APCeCGzmD3H0bgTwP,"숨바꼭질 (feat. 김민성)","숨바꼭질 (feat. 김민성)","김효린;kimminseong",2026-03-06,224267,34,false,,1970-01-01T00:00:00Z,"","Kim Hyorin",0.658,0.219,7,-12.183,1,0.0309,0.957,0.0000374,0.131,0.2,78.395,4
spotify:track:39bopCbYLjNaSh8eGSwHFG,"서라벌 호프 (feat. 강아솔)","이 밤, 우리들의 긴 여행이 시작되었네","이아립;강아솔",2013-09-12,291520,4,false,,1970-01-01T00:00:00Z,"K-발라드","열두폭병풍 레코드",0.714,0.278,10,-11.483,1,0.0329,0.96,0.0605,0.127,0.352,110.917,4
spotify:track:02EGe74DUyiuQp76biMQ8i,"진실에게","진실에게","안다영",2026-03-17,249354,28,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.641,0.55,2,-10.154,1,0.0366,0.804,0.257,0.0806,0.337,143.904,4
spotify:track:0RkcLACgrWL9aZ4YTHz3Er,"그저 바라만 보는 (feat. 강겨울)","그저 바라만 보는","Kim Miseong;Kang Gyeoul",2025-12-08,241093,13,false,,1970-01-01T00:00:00Z,"","Kim Miseong",0.697,0.168,5,-12.058,1,0.0448,0.99,0.00135,0.111,0.316,125.782,4
spotify:track:04QUuKd6hT22EU9ZhKTkPB,"서시","청파소나타","JEONGMILLA",2020-10-22,248000,20,false,,1970-01-01T00:00:00Z,"","Geumbanji Records",0.438,0.191,10,-12.594,1,0.0312,0.929,0.394,0.158,0.16,82.161,4
spotify:track:1eKpQr8E03eX4iCvOVmTEB,"내게 다른 마음은 없어요","내게 다른 마음은 없어요","니하",2022-11-21,198148,13,false,,1970-01-01T00:00:00Z,"한국 록","니하",0.735,0.285,7,-10.63,1,0.0327,0.441,0.764,0.107,0.438,112.048,4
spotify:track:4TMiMf3A8VhnVf7xD3q5XK,"시 헤는 밤","왜냐하면 우리는 우리를 모르고","이아립",2019-10-28,172226,4,false,,1970-01-01T00:00:00Z,"","Manchun Booksore",0.592,0.258,7,-11.099,1,0.034,0.899,0.00085,0.108,0.347,80.707,4
spotify:track:6xXdAuiEZzaX9Ebch3xDiA,"여름을빌려","봄과 여름의 인털루드","Jo SoJeong",2025-08-24,159675,16,false,,1970-01-01T00:00:00Z,"K-발라드,인디 재즈","Jo So Jeong",0.746,0.0667,5,-19.527,1,0.0546,0.934,0.000101,0.107,0.172,89.904,3
spotify:track:40EgxIUucG7wah3MgS101l,"focuci","Seoul","진동욱",2025-11-20,171250,25,false,,1970-01-01T00:00:00Z,"","ourtepidsalon",0.455,0.156,0,-14.188,1,0.0377,0.948,0.0128,0.0976,0.169,119.251,4
spotify:track:2yUpUzhWdLNQebHYshnib4,"바다야","바다야","Jeongyun",2026-02-28,221708,17,false,,1970-01-01T00:00:00Z,"","정윤",0.637,0.179,1,-9.833,1,0.0271,0.706,0,0.147,0.164,87.945,4
spotify:track:0RvPCpJrkqAor9JpW3GuMo,"바다","The Path of Dreams","M.A Kim",2024-12-06,205454,16,false,,1970-01-01T00:00:00Z,"","금광청소년문화의집",0.758,0.475,2,-10.188,1,0.0293,0.849,0.00638,0.127,0.72,132.006,4
spotify:track:2yvY537JLyzInTojsh3tE4,"우리집 싱어","Life","이아립",2010-05-04,187480,1,false,,1970-01-01T00:00:00Z,"","Happy Robot Records",0.882,0.145,10,-11.146,1,0.0693,0.885,0,0.0836,0.599,121.076,4
spotify:track:02BdjE4smgt9DXJmV5DJYn,"아무 말도 더 하지 않고","아무도 없는 곳에서, 모두가 있는 곳으로","강아솔",2023-12-01,229226,17,false,,1970-01-01T00:00:00Z,"K-발라드","WowsanRecord",0.243,0.19,0,-15.933,1,0.0387,0.969,0.00736,0.118,0.148,68.872,4
spotify:track:00QpJ5EZcAkfUQDEltvzVj,"봄봄봄","Twinkle Twinkle","루싸이트 토끼",2007-12-14,170693,15,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.518,0.186,9,-13.358,1,0.033,0.944,0.00831,0.133,0.334,146.002,4
spotify:track:219vAz0OA0zC7Ebr6pTiqP,"안녕 삐 #2","내가 부른 그림 2","이영훈",2015-02-05,253826,14,false,,1970-01-01T00:00:00Z,"K-발라드","Magic Strawberry Sound",0.459,0.596,9,-6.178,1,0.0295,0.0771,0.129,0.237,0.275,142.047,3
spotify:track:1Qb6VdtiiwgShpO2YBRcW6,"그런 마음","그런 마음","주윤하",2026-02-24,248828,21,false,,1970-01-01T00:00:00Z,"","rainbow tree",0.501,0.332,5,-8.774,1,0.0304,0.792,0.0155,0.114,0.167,125.631,4
spotify:track:3TggvpRSD42cXZHGDXxNYF,"짙어만 갑니다","짙어만 갑니다","이아립",2018-10-20,177226,12,false,,1970-01-01T00:00:00Z,"","Earip",0.666,0.088,5,-16.186,1,0.0361,0.977,0.00892,0.12,0.143,100.089,4
spotify:track:4hSz8c0B4ZaexbAVFc04N6,"고목나무","Wonderful Time","김효린",2023-12-15,215880,19,false,,1970-01-01T00:00:00Z,"","김효린",0.316,0.216,0,-14.835,0,0.0318,0.935,0.0696,0.115,0.247,131.787,3
spotify:track:7vQn1lNrcqREDXRAD9UHWM,"우리 다시 만나는 날에","충무에서","강아솔",2022-04-30,197000,11,false,,1970-01-01T00:00:00Z,"K-발라드","watermelon",0.587,0.178,8,-16.46,1,0.0858,0.948,0.0000141,0.118,0.315,119.328,4
spotify:track:4xGh8fMxZv5QhZXmb7ehzr,"아는여자","산만한시선 2","Sanmanhan",2025-09-27,212493,17,false,,1970-01-01T00:00:00Z,"한국 록","Sanmanhan",0.564,0.196,10,-15.617,1,0.0317,0.842,0.426,0.0995,0.4,103.387,4
spotify:track:5dsKgdk5cOiM3SFbv1tqKN,"위로","내가 부른 그림 2","이영훈",2015-02-05,183333,16,false,,1970-01-01T00:00:00Z,"K-발라드","Magic Strawberry Sound",0.678,0.324,7,-10.188,1,0.0373,0.939,0.808,0.107,0.272,87.936,3
spotify:track:6XhnLhNSiyQShgnLUoocGX,"마중 가는 길","마중 가는 길","이아립",2020-04-08,262420,12,false,,1970-01-01T00:00:00Z,"","fictiondle",0.568,0.201,8,-9.757,1,0.0651,0.977,0.0000292,0.109,0.147,149.647,4
