Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4u4xggI8qWRndibpIO4rYK,"Labor In Vain","Show Me Love","Linus' Blanket",2011-08-05,206693,17,false,,1970-01-01T00:00:00Z,"시부야계","Genie Music Corporation, Stone Music Entertainment",0.715,0.477,2,-11.973,1,0.0363,0.686,0.759,0.202,0.754,141.178,4
spotify:track:7p23qMHn32rwnIcGIFJxgK,"Heart in Motion","Heart in Motion","The Green Tea",2008,227853,36,false,,1970-01-01T00:00:00Z,"시부야계,보사노바","Feel Music",0.764,0.482,9,-9.244,1,0.0318,0.371,0.0000616,0.258,0.596,116.033,4
spotify:track:41nqSiFrgF8tPcJYuviMmC,"Parade","Parade","라이너스의 담요",2013-08-29,181061,15,false,,1970-01-01T00:00:00Z,"시부야계","레이블 벅스",0.791,0.378,7,-8.718,1,0.0341,0.749,0.00000117,0.133,0.856,113.002,4
spotify:track:1pZkxeWqUOa8xocH60KtQT,"Owari","あの人が歌うのをきいたことがない","Takaki Horigome",2020-02-28,89053,19,false,,1970-01-01T00:00:00Z,"시티 팝,일본 인디,시부야계","ホリプロ",0.739,0.265,2,-14.66,1,0.0344,0.731,0.945,0.0982,0.483,98.828,4
spotify:track:23PtfB2bl8YU3SpvpUIT9P,"暮れる日","HEARTBEAT","Saeko Inuzuka",2006,182306,19,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","ジパングプロダクツ株式会社",0.627,0.285,6,-13.148,0,0.0279,0.889,0.00717,0.152,0.42,105.115,4
spotify:track:1rqhjVrurRtQS6r4CQxWCj,"Summer Night Magic","Magic Moments","Linus' Blanket;Billy Acoustie",2014-09-17,211435,12,false,,1970-01-01T00:00:00Z,"시부야계","Genie Music Corporation",0.551,0.374,4,-10.733,0,0.0286,0.767,0.0000418,0.0893,0.399,83.08,4
spotify:track:3lU9Wn3njq2SjDTPfjpUVR,"Funny Midnight Sun","先生小姐","Mr Miss",2016-11-15,203443,38,false,,1970-01-01T00:00:00Z,"중국 인디","北京草台回声文化传播有限公司",0.771,0.267,5,-11.577,1,0.0391,0.854,0.000208,0.122,0.434,119.962,4
spotify:track:7uxzErMVHl8n52VigbQjvQ,"Saudade no Céu de Outono","pomodorosa","pomodorosa",2020-04-19,186000,40,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,보사노바","POPSTAR LABEL",0.676,0.18,9,-14.576,1,0.0446,0.89,0.00277,0.0894,0.422,117.383,4
spotify:track:7xha3EMJ7Uy5Ch5MePFYS2,"Signal Waltz","Labor in Vain","라이너스의 담요",2005-06-22,176800,22,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.569,0.423,2,-8.574,1,0.0316,0.798,0.681,0.178,0.354,155.877,3
spotify:track:18WEDji57LwfB4B1ykxpGQ,"carioca in paris","homemade","mamerico",2022-05-14,178178,30,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계","mamerico",0.892,0.0926,2,-14.176,1,0.0501,0.918,0.00115,0.0783,0.836,108.057,3
spotify:track:3JxbUslLvyr6OTiJC6LysX,"Misty","Show Me Love","Linus' Blanket",2011-08-05,224933,11,false,,1970-01-01T00:00:00Z,"시부야계","Genie Music Corporation, Stone Music Entertainment",0.41,0.301,4,-13.901,1,0.0394,0.913,0.0173,0.105,0.195,103.739,3
spotify:track:4jaY7IfRrkbsbtUZqLAUnk,"있었다","다시, 보싸다방 Vol. 2","HeeKyung Na",2016-11-09,215746,20,false,,1970-01-01T00:00:00Z,"보사노바","비스킷사운드",0.865,0.228,6,-13.952,0,0.0842,0.953,0.0349,0.374,0.528,128.091,4
spotify:track:2Y7cOqDqsA2MpQ4HX4B8MD,"Green Tea","Heart in Motion","The Green Tea",2008,247666,34,false,,1970-01-01T00:00:00Z,"시부야계,보사노바","Feel Music",0.704,0.665,2,-8.453,1,0.0274,0.105,0.00189,0.215,0.724,106.006,4
spotify:track:0CGEYdZqBmfmEWUNlgGHqo,"Interlude 1 - Piao Zhe (Floating In The Air)","Ciao! Baby","The Marshmallow Kisses",2011-01-01,93133,35,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.638,0.606,3,-10.104,1,0.0664,0.414,0.0185,0.088,0.886,180.089,5
spotify:track:1F5iX7QOlxIyXeMpnVE79x,"담요송","Semester (라이너스 담요의 첫번째 EP 앨범)","라이너스의 담요",2003-07-01,219376,13,false,,1970-01-01T00:00:00Z,"시부야계","비트볼뮤직",0.656,0.539,7,-9.113,1,0.0431,0.648,0.65,0.116,0.552,153.943,4
spotify:track:6WAHChgBy1COLbwCWYCtHs,"waltz for hulot","minuscule","mamerico",2011-09-13,227652,44,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계","mamerico",0.7,0.179,6,-15.584,1,0.041,0.928,0.000184,0.102,0.326,130.938,3
