Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7by9snEAzEuKOqwfc2T8vH,"봉선화 연정","골든 힛트송 모음집","현철",1992-12-01,202031,24,false,,1970-01-01T00:00:00Z,"","음제협",0.602,0.555,1,-10.989,1,0.0373,0.417,0,0.125,0.676,128.271,4
spotify:track:3uWtm30UNGeNRvbqGzH37A,"나침반","나의 사랑/나침반","설운도",1984-12-10,184360,21,false,,1970-01-01T00:00:00Z,"","오아시스레코드 뮤직컴퍼니",0.718,0.58,10,-5.892,1,0.0687,0.607,0.0000273,0.148,0.855,133.25,4
spotify:track:1kPHaUWQIFebAHGMiOXkkN,"Night of candel lights","Night of candel lights","Yang Hayoung;양하영",1988-06-29,248163,16,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.647,0.4,6,-11.564,0,0.0304,0.801,0.197,0.0817,0.173,119.53,4
spotify:track:4j24qHyMUi2NcAEseG1CUl,"모르리","모르리","남진",2002-01-01,216213,18,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.489,0.418,5,-9.756,1,0.0304,0.0725,0.16,0.102,0.429,75.801,4
spotify:track:3nozYM4IPQ7lR2oy8gjEbB,"훨훨훨","빙빙빙","김용임",2009-04-10,224000,24,false,,1970-01-01T00:00:00Z,"","김용임",0.358,0.679,10,-4.279,0,0.0387,0.536,0.0000107,0.123,0.273,69.882,4
spotify:track:6oHhbZ7H8Akb6YiejwDAVF,"사랑의 이름표","최고 히트곡 풀사운드 1, 2","현철",2008-04-01,179560,25,false,,1970-01-01T00:00:00Z,"","현철 뮤직",0.657,0.727,10,-5.286,1,0.0471,0.576,0,0.14,0.805,117.555,4
spotify:track:0xxFvzPM4ajsVXLY9zA4hY,"신사동 그 사람","골든 특집","Joo Hyun Mi",1992-01-01,201440,23,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.703,0.513,8,-8.03,1,0.0249,0.648,0.000809,0.088,0.841,100.32,4
spotify:track:4luHr79UtHisg9iTbAY9C6,"남자라는 이유로","남자라는 이유로 / 꽃이 된 여자","조항조",1997-03-01,221387,28,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.51,0.563,1,-7.333,1,0.0294,0.477,0,0.0931,0.488,133.721,4
spotify:track:2NiLyGuYJzQg0pj1bf3jsg,"짝사랑","김영광 작곡 30년 기념음반 2집","주현미",1990-03-30,193173,16,false,,1970-01-01T00:00:00Z,"","RIAK",0.612,0.418,4,-8.115,1,0.0318,0.83,0,0.204,0.733,115.098,4
spotify:track:2HgCqQXfsqZ1QLuA1wGuaB,"가시","2023강문경 싱글앨범 (그놈,가시)","강문경",2023-09-07,191346,11,false,,1970-01-01T00:00:00Z,"","RIAK",0.418,0.559,3,-5.1,0,0.0323,0.366,0,0.0989,0.363,72.731,3
spotify:track:60QdnZRYyRJCRorVfhAdfr,"사랑은 나비인가봐","골든 힛트송 모음집","현철",1992-12-01,176692,26,false,,1970-01-01T00:00:00Z,"","음제협",0.611,0.476,8,-10.882,1,0.0327,0.277,0,0.0966,0.823,126.158,4
spotify:track:3gPSy4M3KZFU8pYbcSwE5v,"부초같은 인생","사랑님","김용임",2014-08-14,211506,28,false,,1970-01-01T00:00:00Z,"","RIAK",0.582,0.798,0,-3.332,1,0.0294,0.569,0.0000181,0.101,0.63,134.832,4
spotify:track:7ESq2ZGhHOdvtuA96W2e6E,"내 나이가 어때서","오승근 Special `내 나이가 어때서`","오승근",2014-05-23,199171,31,false,,1970-01-01T00:00:00Z,"","오감엔터테인먼트",0.67,0.555,9,-7.028,1,0.0287,0.858,0.00000469,0.182,0.726,136.038,4
spotify:track:6CryL5Vcu5SfPyxGb4mf9j,"안개속의 두 그림자","7080 카페 테라스 cafe terrace","Ham Jung A",2010-06-28,180480,10,false,,1970-01-01T00:00:00Z,"","RIAK",0.609,0.625,11,-11.987,0,0.0458,0.0285,0.00102,0.145,0.702,117.033,4
spotify:track:5UdygzfgxuIGylnL0X6Jr6,"비내리는 영동교","주현미 신곡","Joo Hyun Mi",1991-01-29,153800,18,false,,1970-01-01T00:00:00Z,"","오아시스레코드 뮤직컴퍼니",0.518,0.332,8,-10.107,1,0.0412,0.471,0,0.215,0.431,85.084,3
spotify:track:4LOiQpPq96ezfdpjRGWxF5,"보고싶은 여인","최고 히트곡 풀사운드 1, 2","현철",2008-04-01,183026,18,false,,1970-01-01T00:00:00Z,"","현철 뮤직",0.495,0.622,0,-5.31,0,0.0322,0.563,0,0.247,0.512,129.783,4
spotify:track:2vuVqMRCZg1xQXUm1v4wMP,"빈잔","가요앨범 박춘석 전곡집 1","남진",2010-03-01,185133,22,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.258,0.346,1,-11.561,0,0.0466,0.926,0.0447,0.23,0.337,82.28,5
spotify:track:5uzvl71FiTgtRrS9OD2JUA,"열정","열정/파란나라","혜은이",1985-09-25,215248,26,false,,1970-01-01T00:00:00Z,"K-발라드","쿠킹뮤직",0.667,0.611,7,-14.545,0,0.0347,0.00913,0.0065,0.349,0.839,145.011,4
spotify:track:3kUYMbrhuJbuwWAlnjnNid,"Will Love In This Autumn","Best Of Best","Shim Soo Bong",2005-11-01,187226,16,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.415,0.428,4,-10.723,0,0.0323,0.747,0.0812,0.234,0.1,83.511,4
spotify:track:4yhp5Hb1JQloxakhdVhpaC,"비 내리는 영동교","골든 특집","Joo Hyun Mi",1992-01-01,150866,16,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.362,0.387,7,-8.137,1,0.0347,0.378,0.000067,0.0892,0.427,173.014,3
spotify:track:4c9zc2OJMsxz7ZBVSc3yNo,"앉으나 서나 당신 생각","골든 힛트송 모음집","현철",1992-12-01,177606,21,false,,1970-01-01T00:00:00Z,"","음제협",0.337,0.403,3,-12.779,1,0.0307,0.412,0,0.151,0.437,146.626,4
